cycle_number,Q_discharge_mAh,cap_retention,cap_fade_rate,R_internal_mOhm,R_increase_ratio
1,2507.55,100.0,,,
2,2495.87,99.5342,,,
3,2497.46,99.5976,,,
4,2498.44,99.6367,,,
5,2491.56,99.3623,,,
6,2494.61,99.484,,,
7,2493.7,99.4477,,,
8,2484.03,99.062,,,
9,2496.99,99.5789,,,
10,2494.0,99.4596,-0.054037,35.53,0.0
11,2486.97,99.1793,-0.035493,,
12,2488.34,99.2339,-0.03637,,
13,2490.83,99.3332,-0.030348,,
14,2486.09,99.1442,-0.021814,,
15,2485.29,99.1123,-0.037168,,
16,2478.33,98.8347,-0.061295,,
17,2487.47,99.1992,0.013719,,
18,2484.42,99.0776,-0.050129,,
19,2484.27,99.0716,-0.038803,,
20,2474.37,98.6768,-0.050248,35.82,0.008162
21,2489.35,99.2742,0.004028,,
22,2480.97,98.94,-0.039321,,
23,2477.36,98.796,-0.034815,,
24,2488.55,99.2423,0.013001,,
25,2477.27,98.7924,-0.004227,,
26,2469.35,98.4766,-0.072262,,
27,2473.67,98.6489,-0.042871,,
28,2463.36,98.2377,-0.083388,,
29,2479.15,98.8674,0.019062,,
30,2470.92,98.5392,-0.073498,36.78,0.035182
31,2468.39,98.4383,-0.050168,,
32,2476.56,98.7641,-0.00319,,
33,2462.04,98.1851,-0.105721,,
34,2472.08,98.5855,-0.020697,,
35,2458.18,98.0311,-0.044545,,
36,2464.29,98.2748,-0.037407,,
37,2460.68,98.1308,-0.010688,,
38,2473.11,98.6265,-0.024087,,
39,2473.73,98.6513,0.011206,,
40,2462.35,98.1974,-0.024087,37.74,0.062201
41,2467.3,98.3948,-0.036928,,
42,2461.3,98.1556,-0.002951,,
43,2464.14,98.2688,-0.031664,,
44,2456.64,97.9697,-0.006141,,
45,2450.96,97.7432,-0.053159,,
46,2449.58,97.6882,-0.044266,,
47,2459.62,98.0886,-0.053798,,
48,2468.04,98.4244,-0.022691,,
49,2457.25,97.9941,-0.020339,,
50,2452.38,97.7998,-0.0595,37.92,0.067267
51,2463.66,98.2497,0.009412,,
52,2454.39,97.88,-0.038883,,
53,2452.81,97.817,-0.015274,,
54,2452.66,97.811,0.00678,,
55,2449.84,97.6986,0.001037,,
56,2448.05,97.6272,-0.046141,,
57,2441.53,97.3672,-0.105721,,
58,2450.31,97.7173,-0.027676,,
59,2446.43,97.5626,-0.023728,,
60,2451.97,97.7835,-0.046619,38.42,0.08134
